stratum,n,concordance,ci_lo,ci_hi,decoupled,binom_p
ALL sig-in-both (pooled),685,0.5284671532846715,0.4905109489051095,0.564963503649635,0.47153284671532847,0.14647352514038414
neural/immune sig-in-both,73,0.5068493150684932,0.3835616438356164,0.6164383561643836,0.4931506849315068,1.0
cross-lineage sig-in-both,612,0.5310457516339869,0.4918300653594771,0.5702614379084967,0.46895424836601307,0.1346827897118581
ALL paired (no filter),1478,0.5155615696887687,0.489851150202977,0.5412719891745602,0.48443843031123135,0.24178580576333092
neural/immune (no filter),157,0.5286624203821656,0.45222929936305734,0.6050955414012739,0.4713375796178344,0.5233007934374068
  HEK293T (control),12,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.41666666666666663,0.7744140625
  HepG2 (hepatocellular),311,0.5401929260450161,0.4855305466237942,0.594855305466238,0.4598070739549839,0.17344255582155393
  K562 (erythroleukemia),289,0.5190311418685121,0.4602076124567474,0.5778546712802768,0.48096885813148793,0.5564493944302376
  SH-SY5Y (neuroblastoma 3'UTR),15,0.6666666666666666,0.4,0.8666666666666667,0.33333333333333337,0.30175781249999994
  brain (mouse tissue MPRA),12,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.5833333333333333,0.7744140625
  immune (THP-1 macrophage),13,0.7692307692307693,0.5384615384615384,1.0,0.23076923076923073,0.09228515625
  microglia (3'UTR),27,0.37037037037037035,0.18518518518518517,0.5555555555555556,0.6296296296296297,0.24778856337070465
